Year,Month,Channel,Brand,Weight range,Units (in 1000),Value (in 1000 rub),Volume (in 1000 kg),Number of stores
2020,2,Minimarkets,Virulent,400-599G,0.0295,2.716891,0.0118,0
2020,2,Supermarkets,Green,200-249G,124.2706,6261.83286,26.0969,9957
2020,2,Supermarkets,Green,350-399G,112.8185,10193.829322,39.4865,8768
2020,2,Supermarkets,Green,400-599G,25.1908,3303.863573,12.5954,2630
2020,2,Supermarkets,Green,600-899G,0.0843,16.051771,0.0633,53
2020,2,Supermarkets,Blue,400-599G,30.8669,5580.485107,12.3467,3891
2020,2,Supermarkets,Yellow,350-399G,43.3914,2388.342617,15.6209,6043
2020,2,Supermarkets,Black,200-249G,9.44,564.161924,2.1712,2546
2020,2,Supermarkets,Black,400-599G,5.2153,824.082768,2.3468,1093
2020,2,Supermarkets,Red,350-399G,10.9837,1386.735499,4.064,919
2020,2,Supermarkets,Pale,<200G,0.0175,6.433346,0.0033,13
2020,2,Supermarkets,Pale,400-599G,1.803,520.283287,0.7211,238
2020,2,Supermarkets,Deep,<200G,1.7385,457.743868,0.3303,108
2020,2,Supermarkets,Deep,350-399G,0.0397,13.110632,0.014,8
2020,2,Supermarkets,Deep,400-599G,0.0685,33.706557,0.0342,40
2020,2,Supermarkets,Moderate,<200G,0.0016,0.21092,0.0003,4
2020,2,Supermarkets,Moderate,350-399G,2.2326,287.868454,0.7815,150
2020,2,Supermarkets,Dim,350-399G,0.0526,24.106433,0.0184,0
2020,2,Supermarkets,Dim,400-599G,0.3976,205.549007,0.167,0
2020,2,Supermarkets,Glossy,300-349G,0.1842,34.832102,0.0608,0
2020,2,Supermarkets,Glossy,400-599G,0.3193,146.807534,0.1597,0
2020,3,Hypermarkets,Green,200-249G,15.7516,928.92665,3.3079,480
2020,3,Hypermarkets,Green,350-399G,116.7506,9105.207427,40.8628,776
2020,3,Hypermarkets,Green,400-599G,44.6502,5049.820876,22.3251,664
2020,3,Hypermarkets,Green,600-899G,0.3076,58.307367,0.2307,23
2020,3,Hypermarkets,Blue,400-599G,17.3306,3529.609076,6.9322,668
2020,3,Hypermarkets,Black,200-249G,11.6185,677.017966,2.6723,503
2020,3,Hypermarkets,Black,300-349G,0.0006,0.042303,0.0002,2
2020,3,Hypermarkets,Black,400-599G,2.8369,433.006136,1.2766,301
2020,3,Hypermarkets,Black,600-899G,0.0006,0.096674,0.0003,1
2020,3,Hypermarkets,White,<200G,3.3968,329.873082,0.6114,93
2020,3,Hypermarkets,Red,350-399G,2.1223,317.591342,0.7853,95
2020,3,Hypermarkets,Yellow,350-399G,2.6176,197.90962,0.9423,128
2020,3,Hypermarkets,Orange,250-299G,0.0099,3.203644,0.0027,2
2020,3,Hypermarkets,Orange,400-599G,1.0074,121.778651,0.4029,114
2020,3,Hypermarkets,Purple,400-599G,0.3357,78.294403,0.1343,96
2020,3,Hypermarkets,Pink,<200G,0.3775,58.161958,0.0717,0
2020,3,Hypermarkets,Pink,350-399G,0.0007,0.094486,0.0003,0
2020,3,Hypermarkets,Brown,400-599G,0.2882,45.010945,0.1152,0
2020,3,Minimarkets,Green,200-249G,59.9181,3925.894315,12.5828,7797
2020,3,Minimarkets,Green,300-349G,0.0025,0.239033,0.0008,3
2020,3,Minimarkets,Green,350-399G,69.8611,6958.625881,24.4513,8564
2020,3,Minimarkets,Green,400-599G,8.2565,1088.468861,4.1283,1297
2020,3,Minimarkets,Green,600-899G,0.3656,62.655918,0.2742,283
2020,3,Minimarkets,Blue,400-599G,10.6065,1949.093433,4.2427,1612
2020,3,Minimarkets,Yellow,350-399G,15.8856,1072.220825,5.7188,3521
2020,3,Minimarkets,Black,200-249G,4.2058,285.332048,0.9673,1440
2020,3,Minimarkets,Black,400-599G,1.0539,177.547756,0.4744,434
2020,3,Minimarkets,Delicate,400-599G,2.5053,321.675,1.2527,976
2020,3,Minimarkets,Red,350-399G,0.7486,124.803203,0.277,253
2020,3,Minimarkets,Grey,350-399G,0.5124,123.330744,0.1794,72
2020,3,Minimarkets,White,<200G,1.1978,108.865611,0.2156,239
2020,3,Minimarkets,Pale,<200G,0.0058,1.605336,0.0011,0
2020,3,Minimarkets,Pale,400-599G,0.3065,93.23621,0.1226,0
2020,3,Minimarkets,Orange,400-599G,0.42,48.423851,0.168,292
2020,3,Supermarkets,Green,200-249G,80.8349,4860.261843,16.9753,10268
2020,3,Supermarkets,Green,350-399G,98.0553,9525.273204,34.3194,8169
2020,3,Supermarkets,Green,400-599G,41.2775,5053.812038,20.6387,2632
2020,3,Supermarkets,Green,600-899G,0.0844,13.352451,0.0633,65
2020,3,Supermarkets,Blue,400-599G,22.7859,4874.68381,9.1144,2764
2020,3,Supermarkets,Black,200-249G,8.6386,518.473264,1.9869,1801
2020,3,Supermarkets,Black,400-599G,4.9757,855.17176,2.2391,1471
2020,3,Supermarkets,Yellow,350-399G,20.996,1306.620265,7.5586,3778
2020,3,Supermarkets,Red,350-399G,8.5074,1124.589953,3.1477,869
2020,3,Supermarkets,Delicate,400-599G,6.3937,811.186105,3.1969,2485
2020,3,Supermarkets,Deep,<200G,2.5576,700.968116,0.4859,111
2020,3,Supermarkets,Deep,350-399G,0.0412,13.251864,0.0145,6
2020,3,Supermarkets,Deep,400-599G,0.0818,39.988526,0.0408,47
2020,3,Supermarkets,Pale,<200G,0.0322,7.884587,0.0061,21
2020,3,Supermarkets,Pale,400-599G,2.1445,603.625107,0.8577,257
2020,3,Supermarkets,Dim,350-399G,0.0577,25.981502,0.0202,0
2020,3,Supermarkets,Dim,400-599G,0.5458,290.24294,0.2292,0
2020,3,Supermarkets,Moderate,<200G,0.0004,0.049663,0.0001,1
2020,3,Supermarkets,Moderate,350-399G,1.3841,238.904142,0.4844,158
2020,4,Hypermarkets,Green,200-249G,13.1809,819.698677,2.768,478
2020,4,Hypermarkets,Green,350-399G,54.8537,4806.202042,19.1989,786
2020,4,Hypermarkets,Green,400-599G,48.5498,5104.909681,24.2748,663
2020,4,Hypermarkets,Green,600-899G,1.082,129.175226,0.8115,23
2020,4,Hypermarkets,Blue,400-599G,14.6887,3008.328546,5.8755,671
2020,4,Hypermarkets,Black,200-249G,10.8278,634.098977,2.4904,482
2020,4,Hypermarkets,Black,300-349G,0.0001,0.007028,0,0
2020,4,Hypermarkets,Black,400-599G,2.0152,337.342593,0.9069,302
2020,4,Hypermarkets,Black,600-899G,0.0001,0.016112,0.0001,2
2020,4,Hypermarkets,White,<200G,2.9288,285.831332,0.5272,94
2020,4,Hypermarkets,Red,350-399G,1.8156,283.721208,0.6717,115
2020,4,Hypermarkets,Yellow,350-399G,2.3171,172.71895,0.8341,119
2020,4,Hypermarkets,Orange,250-299G,0.0111,3.648823,0.0031,4
